dProofs27.txt:207                      13 CpCqCCCrstCst         DD1D1D1DD1D1D1DDD1D11111D11:C0C1CCC2.3.4C3.4
dProofs27.txt:245                      13 CpCCqrCCCrsqr         DD1DDD1D1DDDD1D1D11111D1111:C0CC1.2CCC2.3.1.2
dProofs27.txt:252                      13 CpCqCrCCspCtp         DDDD1D1D11DDDD1D1D111111D11:C0C1C2CC3.0C4.0 [instance of CpCqCrCsCtp]
dProofs29.txt:278                      13 CpCCCqCrstCst         DD1D1D1D1DDD1D1D1DDD1D1111111:C0CCC1C2.3.4C3.4
dProofs29.txt:336                      13 CpCqCrCsCtCus         DD1DD1D1D1DD1D1111D1DD1D1D111:C0C1C2C3C4C5.3
dProofs29.txt:360                      13 CpCqCCCrqsCts         DDDD11DDD1D11111DDDD1D1D11111:C0C1CCC2.1.3C4.3
dProofs31.txt:316                      13 CCCCCpqpprCsr         D1DD1DDD1D1DDD1D111111DDD1D1111:CCCCC0.1.0.0.2C3.2
dProofs31.txt:319                      13 CCCCCpqrprCsr         D1DDD1DDD1D1DDDD1D1D11111D11111:CCCCC0.1.2.0.2C3.2
dProofs31.txt:359                      13 CpCqCrCsCtCuu         DD1D1D1D1D1D1D1D1D1DDD1D1111D11:C0C1C2C3C4C5.5
dProofs31.txt:489                      13 CpCqCrCCCstss         DD1DD1DD1D1DDD1D111111D1DD1D111:C0C1C2CCC3.4.3.3
dProofs31.txt:497                      13 CpCCCCqrCrrss         DD1DDD1D1DDD1D111111D1DD1D11D11:C0CCCC1.2C2.2.3.3 [instance of CpCCCqCrrss]
dProofs31.txt:500                      13 CpCCCqrCrsCrs         DD1DDD1D1DDD1D111111D1DDD1D1111:C0CCC1.2C2.3C2.3
dProofs31.txt:504                      13 CCCpCqCrstCst         DDD1D1D1DDD1D1111DDDD1D1D111111:CCC0C1C2.3.4C3.4
dProofs31.txt:508                      13 CCCCpqCqCpqrr         DDD1DDD1D1DDD1D111111D1DD11D111:CCCC0.1C1C0.1.2.2 [instance of CCCpCqprr]
dProofs31.txt:509                      13 CCCCCpqpCrpss         DDD1DDD1D1DDD1D111111D1DD1D1111:CCCCC0.1.0C2.0.3.3
dProofs33.txt:693                      13 CpCqCCCrCsrss         DD1DD1DD11D111D1DDD1D1DDD1D111111:C0C1CCC2C3.2.3.3 [instance of CpCqCCCrCstss]
dProofs33.txt:728                      13 CpCCCqCrpsCts         DDDD1D1D1DDD1D111111DDDD1D1D11111:C0CCC1C2.0.3C4.3
dProofs35.txt:633                      13 CCCCCppqqrCsr         D1DD1DDD1D1DDD1D111111D1DDD1D11D111:CCCCC0.0.1.1.2C3.2
dProofs35.txt:992                      13 CpCCCqCrCsrtt         DD1DDD1D1DDD1D111111D1DD1DD1D111D11:C0CCC1C2C3.2.4.4
dProofs35.txt:1015                     13 CCCpCqrCsqCsq         DDD1DDD1D1DDD1D111111D1D1DDD1D11111:CCC0C1.2C3.1C3.1
dProofs37.txt:1378                     13 CpCqCrCCCsstt         DD1DD1DD1D1DDD1D111111D1DD1DD1D11D111:C0C1C2CCC3.3.4.4
dProofs37.txt:1437                     13 CCCpCCqrCrrss         DDD1DDD1D1DDD1D111111D1DD1D1D1D11D111:CCC0CC1.2C2.2.3.3 [instance of CCCpCqCrrss]
dProofs37.txt:1441                     13 CCCCCppqCrqss         DDD1DDD1D1DDD1D111111D1DD1DD1D11D1111:CCCCC0.0.1C2.1.3.3
dProofs39.txt:1914                     13 CpCqCrCCrsCts         DD1DD1D1D1DDD1D11111D1DDDD11DDD1D111111:C0C1C2CC2.3C4.3
dProofs39.txt:1921                     13 CpCqCCCrCstss         DD1DD1DD11DDD1D11111D1DDD1D1DDD1D111111:C0C1CCC2C3.4.3.3
dProofs39.txt:1939                     13 CpCqCCCrCsrtt         DD1DD1DD1DD1D111D111D1DDD1D1DDD1D111111:C0C1CCC2C3.2.4.4
dProofs39.txt:2026                     13 CCCpCqqCrsCrs         DDD1DDD1D1DDD1D111111D1D1D1DDD1D11D1111:CCC0C1.1C2.3C2.3 [instance of CCCpCqqrr]
dProofs39.txt:2210                     13 CCCCCpqprpCsp         DDDDDD1D1D1D1DDDD1D1D111111111DDD1D1111:CCCCC0.1.0.2.0C3.0
dProofs41.txt:2712                     13 CpCqCrCsCtCur         DD1DD1D1D1DDD1D1111DDDD1D1D11111D1DD1D111:C0C1C2C3C4C5.2
dProofs41.txt:2809                     13 CpCCCqCrCsstt         DD1DDD1D1DDD1D111111D1DD1DD1D111D1DD1D111:C0CCC1C2C3.3.4.4
dProofs41.txt:2814                     13 CpCCCqrCsqCsq         DD1DDD1D1DDD1D111111D1DDD1D1D1DDD1D111111:C0CCC1.2C3.1C3.1
dProofs41.txt:2817                     13 CpCCCqCrCstss         DD1DDD1D1DDD1D111111DDD1D11DDDD1D1D111111:C0CCC1C2C3.4.3.3
dProofs41.txt:2832                     13 CCCpqrCCCrsqr         DDD1D1D1D1DDD1DDD1D1DDDD1D1D11111D1111111:CCC0.1.2CCC2.3.1.2
dProofs41.txt:2864                     13 CCCCCpqrCqrss         DDD1DDD1D1DDD1D111111D1DD1D1D1DDD1D111111:CCCCC0.1.2C1.2.3.3
dProofs41.txt:2877                     13 CCCpqrCCCqsrr         DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111111:CCC0.1.2CCC1.3.2.2
dProofs43.txt:3951                     13 CpCCCqCrCsqtt         DD1DDD1D1DDD1D111111D1DD1DD1D111DDD1D1D1111:C0CCC1C2C3.1.4.4
dProofs43.txt:4031                     13 CCCpCCqpCrpss         DDD1DDD1D1DDD1D111111D1DD11DDD11DDD1D111111:CCC0CC1.0C2.0.3.3 [instance of CCCpCqCrpss]
dProofs43.txt:4395                     13 CCCCCppqrqCsq         DDDDDD1D1D1D1DDDD1D1D111111111D1DDD1D11D111:CCCCC0.0.1.2.1C3.1
dProofs45.txt:5450                     13 CpCqCCCrCsstt         DD1DD1DD1DD1D111D1DD1D1111D1DDD1D1DDD1D111111:C0C1CCC2C3.3.4.4
dProofs45.txt:5659                     13 CCCCpqCrqsCps         DDD1D1D1DDDD1D1D1D1DDDD1D1D1DDD1D111111111111:CCCC0.1C2.1.3C0.3
dProofs45.txt:5709                     13 CCCpCqrCrsCrs         DDD1DDD1D1DDD1D111111D1D1DDD1D1D1DDD1D1111111:CCC0C1.2C2.3C2.3
dProofs45.txt:5730                     13 CCCpCqCrCsqtt         DDD1DDD1D1DDD1D111111D1DD1DD1D1D111D1DD1D1111:CCC0C1C2C3.1.4.4
dProofs45.txt:5742                     13 CCCCCpqrCsrpp         DDD1DDD1D1DDD1D111111D1DDDD1D1D1DDD1D11111111:CCCCC0.1.2C3.2.0.0
dProofs47.txt:7139                     13 CpCqCrCsCtCuq         DD1DD11DDD1D1111DDD1D1D1DDD1D1111DDDD1D1D111111:C0C1C2C3C4C5.1
dProofs47.txt:7687                     13 CpCqCCrCrsCrs         DD1DD1DDD1D11DDDD1D1D1111111D1DDD1D1DDD1D111111:C0C1CC2C2.3C2.3
dProofs47.txt:7921                     13 CpCCCqrqCsCtq         DD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DD1D111:C0CCC1.2.1C3C4.1
dProofs47.txt:7925                     13 CpCCqrCCCqsqr         DD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1D11111:C0CC1.2CCC1.3.1.2
dProofs47.txt:8051                     13 CCCpCqCrCsrtt         DDD1DDD1D1DDD1D111111D1DD1D1D1DD1DD1D111D11D111:CCC0C1C2C3.2.4.4
dProofs49.txt:11264                    13 CCCpqrCCCqsqr         DDD1D1D1DDDDDD1D1D1D1DDDD1D1D111111111DDD1D111111:CCC0.1.2CCC1.3.1.2
