dProofs71.txt:550762                   11 CCCCCpqOprr         DDD1DDD1D1DDD1D111111D1DDDD11DDD1D11111DDDD1DDD1D1DDDD1D1D11111D1111121:CCCCC0.1O0.2.2
dProofs71.txt:551678                   11 CCCCCOpqrqq         DDD1DDD1D1DDD1D111111DDDDDD1D1D1D1DDDD1D1D111111111D1DDDD11DDD1D1111121:CCCCCO0.1.2.1.1
dProofs71.txt:554042                   11 CpCCCqCrpss         DDD1DDDD1D1D1D1DDDD1D1D1DDD1D111111111DDDD1D1D11111D1DDD1D1DDD1D1111111:C0CCC1C2.0.3.3
dProofs73.txt:787252                   11 CCCCCOpOqrr         DDD1DDD1D1DDD1D111111D1DD1DDDD1DDD1DDD1D1D1DDDD1D1D1111111DDD1D1111111221:CCCCCO0O1.2.2
dProofs73.txt:787468                   11 CCCCCpqrrpp         DDD1DDD1D1DDD1D111111DDD1D1D1DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111111111:CCCCC0.1.2.2.0.0
dProofs73.txt:788705                   11 CCCOpCCOqOr         DDD1DDD1DDD1D1D1DDD1DDD1DDD1D1D1DDDD1D1D1111111DDD1D111111111DDD1D1111121:CCCO0CCO1O2
dProofs73.txt:791857                   11 CCCppCCOqrr         DDD1DDD1DDD1D1D1DDDD1D1D1DDD1D111111111D1DDD1D11D1111D1DDDD11DDD1D1111121:CCC0.0CCO1.2.2
dProofs73.txt:791982                   11 CCCOpCCqqrr         DDD1DDD1DDD1D1D1DDDD1D1D1DDD1D111111111D1DDDD11DDD1D1111121D1DDD1D11D1111:CCCO0CC1.1.2.2
dProofs73.txt:792844                   11 CCCpqCCOrOp         DDD1DDDD1DDD1DDD1D1D1DDDD1D1D1111111D1DDD1DDD1D1DDDD1D1D11111D11111111221:CCC0.1CCO2O0
dProofs73.txt:795625                   11 CpCqCCCrpss         DDDD1D1D1111DDDD1D1D1DDDDDD1D1D1D1DDDD1D1D111111111111D1DDD1D1DDD1D111111:C0C1CCC2.0.3.3
dProofs73.txt:814446                   11 CCCCCpqppOr         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DD1DDD1D1DDD1D111111DDD1D1111112:CCCCC0.1.0.0O2
dProofs73.txt:814607                   11 CCCCCpqOpOr         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DDD1DDD1D1DDDD1D1D11111D11111112:CCCCC0.1O0O2
dProofs73.txt:814926                   11 CCCpCqCrsOr         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1D1D1D1DDD1D1D1DDD1D11111111112:CCC0C1C2.3O2
dProofs75.txt:1096891                  11 CpCCqrCqCsr         DD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111:C0CC1.2C1C3.2
dProofs77.txt:1608692                  11 CCCOpCCqqOr         DDD1DDD1DDD1D1D1DDD1DDD1DDD1D1D1DDDD1D1D1111111DDD1D111111111D1DDD1D11D111121:CCCO0CC1.1O2
dProofs77.txt:1624533                  11 CpCCCqCrsOr         DDDD11DDD1D11111DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1D1D1DDD1D111111112:C0CCC1C2.3O2
dProofs77.txt:1625087                  11 CpCCpCCqrqq         DDDD1D1D1DDD1DDD1D1D1DDDD1D1D1111111DDDDD1D1D1D1DDDD1D1D111111111111DDD1D1111:C0CC0CC1.2.1.1
dProofs77.txt:1666452                  11 CCCCCppqqOr         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DD1DDD1D1DDD1D111111D1DDD1D11D111112:CCCCC0.0.1.1O2
dProofs79.txt:2307302                  11 CCCOpCCOqrr         DDD1DDD1DDD1D1D1DDDD1D1D1DDD1D111111111D1DDDD11DDD1D1111121D1DDDD11DDD1D1111121:CCCO0CCO1.2.2
dProofs79.txt:2372645                  11 CCCCCOpOqOr         DDDD1DDDD1D1D1DDDD1DDD1DDD1D1D1DDDD1D1D1111111D1DDDD1D1D11111111211DDD1D1111112:CCCCCO0O1O2
dProofs79.txt:2384049                  11 CCpCCqrqCpq         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDDDD1D1D1D1DDDD1D1D11111111111DDD1D1111:CC0CC1.2.1C0.1
dProofs81.txt:3283219                  11 CCCpCCpqqrr         DDD1DDD1D1DDD1D111111D1DD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1D1DDD1D1111111:CCC0CC0.1.1.2.2
dProofs81.txt:3308365                  11 CpCCCqrCpqq         DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1D1D1DDD1DDD1D1DDDD1D1D11111D11111111:C0CCC1.2C0.1.1
dProofs81.txt:3308372                  11 CpCCCCpqrOq         DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDDDDD1DDD1D1D1D1D1DDDD1D1D1111111111121:C0CCCC0.1.2O1
dProofs81.txt:3326348                  11 CpCCpCCqqrr         DDDD1D1D1DDD1DDD1D1D1DDDD1D1D1111111DDDDD1D1D1D1DDDD1D1D111111111111D1DDD1D11D111:C0CC0CC1.1.2.2
dProofs81.txt:3419535                  11 CCCpqOCrCqs         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1DDD1DDD1D1D1DDDD1D1D1111111D1D11111112:CCC0.1OC2C1.3
